Date,Timestamp,Open,High,Low,Close,Volume
2021-03-12,00:00:00,1.19842,1.19884,1.19099,1.19476,154653.970393004
2021-03-14,00:00:00,1.19451,1.19511,1.19439,1.19489,2178.61998838186
2021-03-15,00:00:00,1.19483,1.19674,1.1911,1.19275,123475.705291335
2021-03-16,00:00:00,1.19278,1.19518,1.18819,1.19008,128666.051774986
2021-03-17,00:00:00,1.19011,1.19855,1.18861,1.198,134649.325095765
2021-03-18,00:00:00,1.198,1.19888,1.19061,1.19135,180556.767924219
2021-03-19,00:00:00,1.19135,1.19371,1.18738,1.19031,137833.180265494
2021-03-21,00:00:00,1.18712,1.18822,1.18708,1.18797,1358.33352480456
2021-03-22,00:00:00,1.18804,1.19468,1.18744,1.19348,117508.826854937
2021-03-23,00:00:00,1.19348,1.19407,1.18421,1.18505,121924.272474628
2021-03-24,00:00:00,1.18501,1.18517,1.18095,1.18126,127828.630237512
2021-03-25,00:00:00,1.18127,1.18277,1.17617,1.17679,137021.991414275
2021-03-26,00:00:00,1.17686,1.18049,1.17679,1.17918,97005.5058984086
2021-03-29,00:00:00,1.17917,1.17939,1.17606,1.17642,108739.675228477
2021-03-30,00:00:00,1.1764,1.17737,1.17112,1.17169,101747.155369617
2021-03-31,00:00:00,1.17168,1.17598,1.1704,1.17298,108027.72038012
2021-04-01,00:00:00,1.17298,1.17799,1.17125,1.17759,100966.914472491
2021-04-02,00:00:00,1.17759,1.17866,1.1749,1.17603,73526.584313903
2021-04-05,00:00:00,1.17544,1.18194,1.17379,1.18125,64177.8449345306
2021-04-06,00:00:00,1.18125,1.18776,1.17951,1.1874,92381.3508015499
2021-04-07,00:00:00,1.1874,1.19147,1.18608,1.18657,93691.9700914174
2021-04-08,00:00:00,1.18657,1.19274,1.18609,1.19124,88048.4288754314
2021-04-09,00:00:00,1.19121,1.19201,1.18669,1.18977,86552.7176815122
2021-04-12,00:00:00,1.18903,1.1919,1.1871,1.19099,80081.1499992032
2021-04-13,00:00:00,1.19098,1.19557,1.18776,1.19474,99299.5602278262
2021-04-14,00:00:00,1.19473,1.19872,1.1947,1.19784,94252.0551223159
2021-04-15,00:00:00,1.19781,1.19932,1.1956,1.19655,88577.8950399384
2021-04-16,00:00:00,1.1963,1.19946,1.19503,1.19805,78344.8602107838
2021-04-19,00:00:00,1.19722,1.2048,1.19424,1.20367,97787.9460365549
2021-04-20,00:00:00,1.20363,1.20797,1.20224,1.20342,98215.7181581482
2021-04-21,00:00:00,1.20337,1.20436,1.19985,1.20343,86370.6700351834
2021-04-22,00:00:00,1.20344,1.20694,1.19936,1.20139,106466.230144247
2021-04-23,00:00:00,1.20138,1.20999,1.20127,1.20938,82121.8698625788
2021-04-26,00:00:00,1.20913,1.21167,1.20608,1.20838,81695.9002418593
2021-04-27,00:00:00,1.20854,1.20926,1.20567,1.20891,81304.0959159285
2021-04-28,00:00:00,1.20891,1.21347,1.2056,1.21242,104781.330252483
2021-04-29,00:00:00,1.2124,1.21498,1.21021,1.21182,99413.8430014215
2021-04-30,00:00:00,1.21173,1.21265,1.20165,1.20169,100428.010078497
2021-05-03,00:00:00,1.20309,1.2076,1.2013,1.20627,81555.5542119741
2021-05-04,00:00:00,1.20627,1.20649,1.19989,1.20116,107621.535057656
2021-05-05,00:00:00,1.20106,1.20265,1.19859,1.20036,84306.5951262061
2021-05-06,00:00:00,1.20036,1.20716,1.19929,1.20645,94023.4192025736
2021-05-07,00:00:00,1.20647,1.21713,1.20527,1.21615,130680.092220798
2021-05-10,00:00:00,1.21601,1.21782,1.21276,1.21282,102255.845228791
2021-05-11,00:00:00,1.21281,1.21815,1.2123,1.21467,104144.935329035
2021-05-12,00:00:00,1.21467,1.2152,1.20655,1.20705,164116.545223102
2021-05-13,00:00:00,1.20724,1.2106,1.20514,1.20791,124405.885356233
2021-05-14,00:00:00,1.20787,1.21477,1.20708,1.2142,100391.494367894
2021-05-17,00:00:00,1.2145,1.21687,1.21259,1.21513,81143.86020796
2021-05-18,00:00:00,1.21514,1.22339,1.21489,1.22219,95882.0652536154
2021-05-19,00:00:00,1.22219,1.22451,1.21598,1.21744,121158.370271802
2021-05-20,00:00:00,1.21744,1.2229,1.21689,1.22268,91675.6442614514
2021-05-21,00:00:00,1.2227,1.22396,1.21607,1.21778,97878.350274086
